001,東大のキャンパスといえば、駒場、本郷、あともう一つはどこ？,3,,三鷹と目白には寮があります。また、実は柏キャンパスには学部がなく、従って学園祭もありません。とても綺麗なので写真などを検索してみてください。,3415,三鷹,目白,松戸,柏
002,アメリカには幾つの時間帯がある？,3,,本土で４つ、ハワイとアラスカを含めて６つです。,2722,3,4,5,6
003,アメリカ・ジョージア州で違法とされていることは何でしょう？,2,,ちゃんと手で食べるように心がけましょう。また、他の選択肢も一部の州で実際に禁止されている事例のようです。,4698,ネズミをペットにすること,教会でささやくこと,フライドチキンをナイフとフォークで食べること,人前でマスクやフードで顔を覆うこと
004,世界には「ミッキー」といった単位が存在しますが、何を測る単位でしょう？,1,,マイクロソフト社の担当者が「ミッキーマウス」にちなんでジョークでつけた説が有力らしいです。,4003,テーマパークの大きさ,パソコンのマウスの移動距離,ハツカネズミの群れの数,蒸気船の舵の大きさ
005,一人当たりのチョコレートの消費量が最も多い国はどこ？,2,,一人当たり年間１２kg、板チョコにすると約２００枚。しかし国別の糖尿病有病率ランキングは181位のようです。不思議...,3473,ベルギー,ガーナ,スイス,アイスランド
006,アイスクリーム発祥の地は？,2,,紀元前2000年ごろ、中国にて牛乳を長時間煮たあとに雪で冷やしたものを誰かが作ったようです。,3291,イタリア,アメリカ,中国,日本
007,クリスマスの次の日のことをなんというでしょう？,0,,スポーツの方ではありません。翌日に教会に住む貧しい人たちのために、箱に入れられた（boxing）プレゼントを贈る日であったことからその名前がついたようです。,4901,ボクシングデー,リトル・クリスマス,ハヌカー,十二夜
008,東京大学本郷キャンパスにはあって駒場キャンパスにはないものは何？,2,,本郷キャンパスの三四郎池が有名なので、「池」を選んだ方もいるかもしれません。しかし、実は駒場キャンパスにも一二郎池、という池があります。,4818,図書館,池,プール,食堂
009,次の命題が真となるように答えなさい。「あなたの回答がＡ、かつＢでないならば1+1=1である」,1,,回答がAの時は帰結が偽になります。 回答がBの時は仮定が偽なので、命題は真になります。,21263,Ａ,Ｂ,,
010,ペンと消しゴムの合計の値段は１００円である。ペンは消しゴムより４０円高い。ペンの値段は？,1,,ペンは70円、消しゴムは30円です。焦らないで解いてください。,12493,８０円,７０円,６０円,３０円
011,以下、コインの表裏が出る確率は同様に確からしいとする。二枚のコインを投げて一方が表だった時、もう一方が表である確率はどれくらいか。,2,,コインを区別して、表裏の組み合わせが4通り。片方が表の組み合わせは(表裏)(裏表)(表表)に絞られるので、条件付き確率は1/3です。,13055,2/3,1/2,1/3,1/4
012,6╳6の大きさのオセロは、先手必勝である。,1,,1993年にイギリスの研究者Joel Feinsteinが解明しました。コンピュータによる力押しだったそうです。,4144,◯,╳,,
013,日本の野鳥で「はやにえ」とよばれる、狩ったカエルや虫を木の枝に刺す行為を行うことで知られる野鳥は何でしょう？,1,,モズのはやにえ、とよく呼ばれますね。目的には諸説あり、現在は繁殖期のためのエネルギー貯蔵のためだと言われています。,5192,トビ,モズ,ツバメ,ハシボソガラス
